Emp. Bernstein for CIPS,ESLB,Implicit Exploration Bound,L = 1 Emp. SM for CIPS,LS Bound,dataset,temp_0,temp
1.0,1.0,0.6290689405761501,0.7338898665946085,0.604169698390643,ecoli,0.3,0.1
1.0,1.0,0.7665656576459249,0.8076891526857158,0.7525394344363642,ecoli,0.25,0.1
1.0,1.0,0.5567297182300436,0.7406394577045978,0.4428355265982608,ecoli,0.2,0.1
1.0,1.0,0.5174519305030643,0.6662336206794304,0.472570131710992,ecoli,0.3,0.2
1.0,1.0,0.5528147697727597,0.7126148927709128,0.4893324802114952,ecoli,0.25,0.2
1.0,1.0,0.8326567007204433,0.8317441725989134,0.831400473049315,ecoli,0.2,0.2
1.0,1.0,0.6592437824347895,0.7346194711530927,0.6128676724578955,ecoli,0.3,0.3
1.0,1.0,0.5201990433341934,0.6909935881659984,0.4050424804280271,ecoli,0.25,0.3
1.0,1.0,0.8014623250682773,0.854333552862163,0.7455875403554523,ecoli,0.2,0.3
1.0,1.0,0.42369458050522174,0.5123317697100286,0.27236091729375933,ecoli,0.3,0.4
1.0,1.0,0.6499023666441128,0.7491972266561844,0.5205911501282564,ecoli,0.25,0.4
1.0,1.0,0.83965116337069,0.8820882316194691,0.762901664744603,ecoli,0.2,0.4
1.0,1.0,0.7166230563351915,0.7125250898586314,0.6099182386328399,ecoli,0.3,0.5
1.0,1.0,0.7181176627948561,0.7754967578543924,0.5545575149957184,ecoli,0.25,0.5
1.0,1.0,0.8950277573285098,0.9260757434945398,0.7981073617622421,ecoli,0.2,0.5
1.0,1.0,0.5643888268368042,0.7104343090316478,0.5303688857119145,ecoli,0.3,0.1
1.0,1.0,0.6529238533432753,0.7915061273272622,0.6082068986003645,ecoli,0.25,0.1
1.0,1.0,0.8432738520060699,0.8429259990564496,0.8425504588822349,ecoli,0.2,0.1
1.0,1.0,0.6676929357342386,0.7476245974599293,0.6412145701833303,ecoli,0.3,0.2
1.0,1.0,0.6052229177374961,0.7334465509458444,0.5489748605942066,ecoli,0.25,0.2
1.0,1.0,0.668146894985086,0.800839360464773,0.5781027603818172,ecoli,0.2,0.2
1.0,1.0,0.6703587597706957,0.742879875345631,0.6114429025857834,ecoli,0.3,0.3
1.0,1.0,0.6737265725759776,0.7801000995686662,0.5958172436612132,ecoli,0.25,0.3
1.0,1.0,0.6926871356711577,0.7837183550832862,0.5470914514911058,ecoli,0.2,0.3
1.0,1.0,0.4230303939859162,0.4920036380063558,0.24124297156643099,ecoli,0.3,0.4
1.0,1.0,0.6567177922683548,0.7433367074832801,0.5043362073859347,ecoli,0.25,0.4
1.0,1.0,0.7574391414108486,0.8259039643532118,0.5741147342470835,ecoli,0.2,0.4
1.0,1.0,0.7447058385481223,0.7033706347976183,0.6203596144187932,ecoli,0.3,0.5
1.0,1.0,0.7064516495843421,0.7248549374508859,0.5012237420697888,ecoli,0.25,0.5
1.0,1.0,0.8231888256961152,0.8574187119843292,0.5939332163150114,ecoli,0.2,0.5
1.0,1.0,0.3618948421743087,0.6250794615358773,0.29985901676690807,ecoli,0.3,0.1
1.0,1.0,0.6962775338938754,0.8002138576585164,0.6630144622373747,ecoli,0.25,0.1
1.0,1.0,0.7583419405652044,0.8352292382039508,0.712456829752404,ecoli,0.2,0.1
1.0,1.0,0.5396035696620427,0.6867787461791247,0.4884022320109189,ecoli,0.3,0.2
1.0,1.0,0.8047489040834329,0.8512760340324392,0.7829533492425466,ecoli,0.25,0.2
1.0,1.0,0.6561401804930818,0.7922690941433391,0.5434847012177751,ecoli,0.2,0.2
1.0,1.0,0.47114201235436054,0.6058996259380568,0.35430618018962245,ecoli,0.3,0.3
1.0,1.0,0.592343259019915,0.7216033712607874,0.4534895876109668,ecoli,0.25,0.3
1.0,1.0,0.7095522419777662,0.7679111214178118,0.509447183316011,ecoli,0.2,0.3
1.0,1.0,0.5832711245210972,0.5970379592942857,0.4227562825475151,ecoli,0.3,0.4
1.0,1.0,0.80594860776286,0.8315652996750349,0.7067674359263474,ecoli,0.25,0.4
1.0,1.0,0.6923790109151624,0.8395294544494415,0.4470631492700587,ecoli,0.2,0.4
1.0,1.0,0.7768049031932782,0.7480845373907398,0.6649121315604044,ecoli,0.3,0.5
1.0,1.0,0.7348186986789536,0.6714980974561348,0.5003910550104063,ecoli,0.25,0.5
1.0,1.0,0.9871135238590332,0.8499721502550129,0.8285352893304004,ecoli,0.2,0.5
1.0,1.0,0.6266410853407606,0.7153039603602483,0.6056254451310955,arrhythmia,0.3,0.1
1.0,1.0,0.503427754419689,0.6734756841281958,0.44837405522167023,arrhythmia,0.25,0.1
1.0,1.0,0.7341099207146401,0.7847338474276339,0.7048729877565657,arrhythmia,0.2,0.1
1.0,1.0,0.5360827773949174,0.6568671801243254,0.49474314662073043,arrhythmia,0.3,0.2
1.0,1.0,0.48339572352787163,0.6759360869987799,0.40276809433999283,arrhythmia,0.25,0.2
1.0,1.0,0.5078349999906367,0.7038481662980759,0.3712197613824055,arrhythmia,0.2,0.2
1.0,1.0,0.6073302150530653,0.6769835225182588,0.5337665903360463,arrhythmia,0.3,0.3
1.0,1.0,0.7416227480208817,0.7866674047659388,0.6950418481702115,arrhythmia,0.25,0.3
1.0,1.0,0.6396640591580498,0.7603054515417755,0.48265155071980276,arrhythmia,0.2,0.3
1.0,1.0,0.5659027814384914,0.5518479716397651,0.41966980266963594,arrhythmia,0.3,0.4
1.0,1.0,0.8235676746118319,0.8406171793968438,0.7546189219556484,arrhythmia,0.25,0.4
1.0,1.0,0.9471235998015263,0.9429224988882391,0.942847107552359,arrhythmia,0.2,0.4
1.0,1.0,0.5272538122107647,0.39274140157427795,0.2774881441504497,arrhythmia,0.3,0.5
1.0,1.0,0.8455922242939319,0.8267589383229523,0.7173714527311171,arrhythmia,0.25,0.5
1.0,1.0,0.5840716230220684,0.6553277638247768,0.0025605346841098635,arrhythmia,0.2,0.5
1.0,1.0,0.4584973026450867,0.6313670947908462,0.4177026370877065,arrhythmia,0.3,0.1
1.0,1.0,0.6281760176085122,0.7418392712511079,0.5926375499549753,arrhythmia,0.25,0.1
